repo_full_name,user_id,action,reference,occurred_at
openai/openai-agents-python,ayoajuwon1,reopened,https://github.com/openai/openai-agents-python/issues/2252,2026-01-13T22:22:47Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2245,2025-12-28T19:51:40Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2254,2026-01-02T19:27:04Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2254,2026-01-03T13:15:52Z
openai/openai-agents-python,chatgpt-codex-connector,commented,https://github.com/openai/openai-agents-python/pull/2260,2026-01-05T17:12:46Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2267,2026-01-07T08:26:38Z
openai/openai-agents-python,chatgpt-codex-connector,commented,https://github.com/openai/openai-agents-python/pull/2267,2026-01-07T09:15:31Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2268,2026-01-07T15:31:26Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2271,2026-01-08T06:30:54Z
openai/openai-agents-python,chatgpt-codex-connector,commented,https://github.com/openai/openai-agents-python/pull/2271,2026-01-08T06:36:50Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2276,2026-01-08T09:04:21Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2279,2026-01-08T09:29:19Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2276,2026-01-08T09:30:01Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2284,2026-01-08T17:34:30Z
openai/openai-agents-python,chatgpt-codex-connector,commented,https://github.com/openai/openai-agents-python/pull/2224,2026-01-08T23:41:44Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2289,2026-01-10T07:58:55Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2299,2026-01-12T13:27:05Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2302,2026-01-13T11:54:37Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2302,2026-01-13T12:05:49Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2303,2026-01-13T12:39:25Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2303,2026-01-13T12:43:52Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2303,2026-01-13T12:58:53Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2303,2026-01-13T13:05:09Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2303,2026-01-13T13:11:49Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2303,2026-01-13T13:20:13Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2303,2026-01-13T13:27:57Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2303,2026-01-13T13:39:51Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2303,2026-01-13T13:56:42Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2299,2026-01-13T21:24:12Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2268,2026-01-14T12:22:59Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2268,2026-01-14T12:36:58Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2307,2026-01-15T01:04:49Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2299,2026-01-15T12:19:48Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2299,2026-01-15T12:38:10Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2299,2026-01-15T14:19:52Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2320,2026-01-16T07:26:20Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2320,2026-01-16T07:42:02Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2320,2026-01-16T07:55:27Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2320,2026-01-16T08:08:19Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2322,2026-01-16T08:40:26Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2323,2026-01-16T09:15:20Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2322,2026-01-16T09:22:23Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2322,2026-01-16T09:26:06Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2322,2026-01-16T09:32:24Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2322,2026-01-16T09:41:40Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2323,2026-01-16T10:02:20Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2323,2026-01-16T10:53:07Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2323,2026-01-16T11:22:30Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2322,2026-01-16T12:26:27Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2328,2026-01-18T02:34:54Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2330,2026-01-18T12:22:04Z
openai/openai-agents-python,chatgpt-codex-connector,commented,https://github.com/openai/openai-agents-python/pull/2328,2026-01-18T23:09:21Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2328,2026-01-19T00:38:50Z
openai/openai-agents-python,chatgpt-codex-connector,commented,https://github.com/openai/openai-agents-python/pull/2268,2026-01-19T01:34:08Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2334,2026-01-19T13:09:32Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2334,2026-01-19T14:24:56Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2334,2026-01-19T14:31:20Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2334,2026-01-19T14:46:35Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2337,2026-01-20T01:08:24Z
openai/openai-agents-python,chatgpt-codex-connector,reviewed,https://github.com/openai/openai-agents-python/pull/2337,2026-01-20T01:45:51Z
openai/openai-agents-python,danielquintas8,commented,https://github.com/openai/openai-agents-python/pull/2041,2025-11-29T17:21:30Z
openai/openai-agents-python,dast-draftwise,issue_opened,https://github.com/openai/openai-agents-python/issues/2259,2026-01-05T09:41:22Z
openai/openai-agents-python,dast-draftwise,labeled,https://github.com/openai/openai-agents-python/issues/2259,2026-01-05T09:41:23Z
openai/openai-agents-python,dast-draftwise,commented,https://github.com/openai/openai-agents-python/issues/2259,2026-01-06T20:21:43Z
openai/openai-agents-python,dast-draftwise,issue_opened,https://github.com/openai/openai-agents-python/issues/2291,2026-01-10T17:04:56Z
openai/openai-agents-python,dast-draftwise,commented,https://github.com/openai/openai-agents-python/issues/2291,2026-01-11T09:07:29Z
openai/openai-agents-python,dast-draftwise,commented,https://github.com/openai/openai-agents-python/issues/2291,2026-01-12T08:40:46Z
openai/openai-agents-python,github-actions,commented,https://github.com/openai/openai-agents-python/pull/2059,2025-12-12T02:12:50Z
openai/openai-agents-python,github-actions,labeled,https://github.com/openai/openai-agents-python/pull/2059,2025-12-12T02:12:50Z
openai/openai-agents-python,github-actions,commented,https://github.com/openai/openai-agents-python/pull/2041,2025-12-16T02:12:54Z
openai/openai-agents-python,github-actions,labeled,https://github.com/openai/openai-agents-python/pull/2041,2025-12-16T02:12:55Z
openai/openai-agents-python,github-actions,commented,https://github.com/openai/openai-agents-python/pull/2157,2025-12-18T02:11:16Z
openai/openai-agents-python,github-actions,labeled,https://github.com/openai/openai-agents-python/pull/2157,2025-12-18T02:11:17Z
openai/openai-agents-python,github-actions,unlabeled,https://github.com/openai/openai-agents-python/pull/2059,2025-12-18T02:11:20Z
openai/openai-agents-python,github-actions,unlabeled,https://github.com/openai/openai-agents-python/pull/2157,2025-12-20T02:09:10Z
openai/openai-agents-python,github-actions,unlabeled,https://github.com/openai/openai-agents-python/pull/2041,2025-12-23T02:12:47Z
openai/openai-agents-python,github-actions,commented,https://github.com/openai/openai-agents-python/pull/2059,2025-12-28T02:13:27Z
openai/openai-agents-python,github-actions,labeled,https://github.com/openai/openai-agents-python/pull/2059,2025-12-28T02:13:28Z
openai/openai-agents-python,github-actions,commented,https://github.com/openai/openai-agents-python/pull/2157,2025-12-30T02:12:58Z
openai/openai-agents-python,github-actions,labeled,https://github.com/openai/openai-agents-python/pull/2157,2025-12-30T02:12:58Z
openai/openai-agents-python,github-actions,commented,https://github.com/openai/openai-agents-python/pull/2041,2026-01-02T02:13:02Z
openai/openai-agents-python,github-actions,labeled,https://github.com/openai/openai-agents-python/pull/2041,2026-01-02T02:13:02Z
openai/openai-agents-python,github-actions,commented,https://github.com/openai/openai-agents-python/pull/2227,2026-01-03T02:11:38Z
openai/openai-agents-python,github-actions,commented,https://github.com/openai/openai-agents-python/pull/2226,2026-01-03T02:11:39Z
openai/openai-agents-python,github-actions,labeled,https://github.com/openai/openai-agents-python/pull/2227,2026-01-03T02:11:39Z
openai/openai-agents-python,github-actions,labeled,https://github.com/openai/openai-agents-python/pull/2226,2026-01-03T02:11:40Z
openai/openai-agents-python,github-actions,commented,https://github.com/openai/openai-agents-python/pull/2225,2026-01-03T02:11:41Z
openai/openai-agents-python,github-actions,labeled,https://github.com/openai/openai-agents-python/pull/2225,2026-01-03T02:11:41Z
openai/openai-agents-python,github-actions,commented,https://github.com/openai/openai-agents-python/pull/2224,2026-01-03T02:11:43Z
openai/openai-agents-python,github-actions,labeled,https://github.com/openai/openai-agents-python/pull/2224,2026-01-03T02:11:43Z
openai/openai-agents-python,github-actions,commented,https://github.com/openai/openai-agents-python/pull/2218,2026-01-03T02:11:45Z
openai/openai-agents-python,github-actions,labeled,https://github.com/openai/openai-agents-python/pull/2218,2026-01-03T02:11:45Z
openai/openai-agents-python,github-actions,commented,https://github.com/openai/openai-agents-python/pull/2158,2026-01-03T02:11:48Z
openai/openai-agents-python,github-actions,labeled,https://github.com/openai/openai-agents-python/pull/2158,2026-01-03T02:11:48Z
openai/openai-agents-python,github-actions,commented,https://github.com/openai/openai-agents-python/pull/2229,2026-01-04T02:13:25Z
openai/openai-agents-python,github-actions,labeled,https://github.com/openai/openai-agents-python/pull/2229,2026-01-04T02:13:25Z
openai/openai-agents-python,github-actions,unlabeled,https://github.com/openai/openai-agents-python/pull/2158,2026-01-05T02:13:30Z
openai/openai-agents-python,github-actions,closed,https://github.com/openai/openai-agents-python/pull/2157,2026-01-06T02:13:00Z
openai/openai-agents-python,github-actions,commented,https://github.com/openai/openai-agents-python/pull/2157,2026-01-06T02:13:00Z
openai/openai-agents-python,github-actions,pr_opened,https://github.com/openai/openai-agents-python/pull/2261,2026-01-06T02:34:39Z
openai/openai-agents-python,github-actions,pr_opened,https://github.com/openai/openai-agents-python/pull/2262,2026-01-06T02:35:40Z
openai/openai-agents-python,github-actions,commented,https://github.com/openai/openai-agents-python/pull/2059,2026-01-08T02:12:48Z
openai/openai-agents-python,github-actions,labeled,https://github.com/openai/openai-agents-python/pull/2059,2026-01-08T02:12:49Z
openai/openai-agents-python,github-actions,closed,https://github.com/openai/openai-agents-python/pull/2041,2026-01-10T02:12:27Z
openai/openai-agents-python,github-actions,commented,https://github.com/openai/openai-agents-python/pull/2041,2026-01-10T02:12:27Z
openai/openai-agents-python,github-actions,commented,https://github.com/openai/openai-agents-python/issues/2259,2026-01-14T02:12:57Z
openai/openai-agents-python,github-actions,labeled,https://github.com/openai/openai-agents-python/issues/2259,2026-01-14T02:12:58Z
openai/openai-agents-python,github-actions,commented,https://github.com/openai/openai-agents-python/issues/2232,2026-01-14T02:12:59Z
openai/openai-agents-python,github-actions,labeled,https://github.com/openai/openai-agents-python/issues/2232,2026-01-14T02:12:59Z
openai/openai-agents-python,github-actions,pr_opened,https://github.com/openai/openai-agents-python/pull/2310,2026-01-15T03:44:01Z
openai/openai-agents-python,github-actions,pr_opened,https://github.com/openai/openai-agents-python/pull/2312,2026-01-15T07:06:26Z
openai/openai-agents-python,github-actions,pr_opened,https://github.com/openai/openai-agents-python/pull/2315,2026-01-15T23:20:20Z
openai/openai-agents-python,github-actions,pr_opened,https://github.com/openai/openai-agents-python/pull/2316,2026-01-16T01:40:32Z
openai/openai-agents-python,github-actions,commented,https://github.com/openai/openai-agents-python/issues/2257,2026-01-16T02:12:54Z
openai/openai-agents-python,github-actions,labeled,https://github.com/openai/openai-agents-python/issues/2257,2026-01-16T02:12:55Z
openai/openai-agents-python,github-actions,commented,https://github.com/openai/openai-agents-python/pull/2245,2026-01-16T02:12:56Z
